剧集ID,剧集名称,导演,主演,地域,开播时间,总集数,平台,是否付费,评分,播出方式,是否独家,主题,豆瓣ID,是否爱奇艺出品,首集ID
111123901,掌门女婿,杨晶,张译;曹炳琨;王丽云;王君平;徐梵溪,内地,2012,36,爱奇艺,0,6.6,每日23:00 两集连播,False,言情/家庭/都市,,,252535
113379001,我是特种兵之利刃出鞘,刘猛,吴京;徐佳;赵荀;侯勇;周惠林;徐洪浩;何达;郎峰;任柯诺;王劲松;侯梦莎;刘晓洁;李飞;傅程鹏;鲍国安;王天野,内地,20120101,38,爱奇艺,0,8.7,每晚24:00 3集连播,False,战争/军旅/剧情,,,285198
113387301,火蓝刀锋,张国庆,杨志刚;郑凯;赫子铭;刘思言;王强;樊昊仑;白微;许松霆;刘硕（小）;贾宏伟;白海龙;周若尘;潘阳;李依玲,内地,20120929,32,爱奇艺,0,8.2,每日9:00四集连播,False,战争/军旅/谍战/剧情,,,284366
203030301,枪林弹雨,金鳌勋,印小天;杨童舒;边潇潇;王伟光;刘伟华,内地,20120101,32,爱奇艺,0,6.3,,False,战争/谍战/年代/剧情,,,803309900
210403801,战火中的花蕾,邵警辉,凌潇肃;曹曦文;傅程鹏;李彧;钱芳,内地,20120904,32,爱奇艺,0,7.6,,False,战争/剧情,,,1379284500
116091901,温州一家人,孔笙;李雪,李立群;殷桃;张译;迟蓬;靳东;张佳宁;任帅;刘敏涛;冯国强;苗克;戴佳佳;陈松,内地,20121110,36,爱奇艺,2,7.8,每日24:00 两集连播,True,家庭/年代,,,308601
209092001,仙女湖,郑少锋;林峰,贡米;陈龙;莫少聪;恬妞;廖京生;王博;吕平滢;王婉娟,内地,20120715,40,爱奇艺,0,7.2,,False,家庭/年代,,,7896807600
202219901,新四大名捕,穆龙;尚洪武,安泽豪;吴秀波;崔林;李诚洁;张立,内地,20120914,24,爱奇艺,0,6,,False,言情/悬疑/剧情,,,327591000
210481001,守望的天空,陆江,赵文瑄;赵文瑄;李沁;阚清子;林雨申;李依蔓（演员）;张欢;萨日娜,内地,20120314,30,爱奇艺,0,6.9,,False,言情/家庭/都市/剧情,,,754158000
110383301,爱情公寓3,韦正,娄艺潇;陈赫;邓家佳;王传君;孙艺洲;金世佳;李金铭;赵霁;李佳航;赵文琪;榕榕;杜俊,内地,20120730,24,爱奇艺,2,7.9,每日23:00 两集连播,False,偶像/喜剧/剧情,6312211,,240094
104797601,悬崖,刘进,张嘉译;宋佳;姬他;李洪涛;咏梅;程煜,内地,20120103,40,爱奇艺,0,7.4,,False,战争/军旅/谍战/悬疑/剧情,,,156781
202260801,血雨母子情,侯明杰,张恒;韩青,内地,20120408,32,爱奇艺,0,5.9,,False,战争/军旅/历史/剧情,,,330593800
203053501,穷孩子富孩子,李平;华宁,张倬闻;李木子;汤镇宗;马羚;迟志强;博弘,内地,20120716,33,爱奇艺,0,6.1,,False,战争/军旅/历史/剧情,,,410415300
107894701,独立纵队,王响伟;朱卫;吴国恩,王新军;李彩桦;秦海璐;许明虎;刘晓龙;王缨灏;申军谊;汪坚辛;蒲利飞;蒋林静;杜志国;董彦麟;刘佩琦,内地,20120220,44,爱奇艺,0,7,,False,军旅/年代/剧情,,,203267
200934501,心术,杨阳,吴秀波;海清;张嘉译;王琳;杨紫;翟天临;韩雨芹;于毅;张子枫;王维维;王诗槐;姚安濂,内地,20120101,36,爱奇艺,0,7.4,,False,言情/偶像/都市,5916347,,330065200
115550601,我是特种兵之利刃出鞘DVD版,刘猛,吴京;徐佳;赵荀;侯勇;周惠林;何达;侯梦莎;徐洪浩;郎峰;任柯诺;王劲松;王天野;申军谊;刘晓洁;傅程鹏,内地,20121001,40,爱奇艺,0,8.7,,False,言情/偶像/军旅/谍战,,,300172
119865101,梦回唐朝,丁仰国,郭德纲;王力可;于谦;谭耀文;潘虹;倪虹洁;佟丽娅;郑恺;隋俊波;李倩,内地,20120622,33,爱奇艺,0,4.9,,False,言情/偶像/军旅/谍战,,,362214
217218401,双雄,张自强;周俊伦,连奕名;林保怡;王若心;王晓晨;徐程;邵传勇,内地,20120401,32,爱奇艺,0,7,,False,谍战/年代,,,801058400
242210301,枪神传奇,颢然,何政军;张光北;陈丽娜;李成儒;范雷;羿坤,内地,20120822,32,爱奇艺,0,7.4,,False,战争,,,2782937200
